Lot URL,Lot Number,Est. Retail Value,Year,Make,Model,Expected Sale Date,Engine Type,State of Ownership Doc Type,Ownership Doc Type,Odometer Description,Cylinders,VIN,Grid/Row,Odometer Reading,Damage Description,Current Bid,My Bid,Item Number,Location,Sale Status,Repair Estimate
https://www.copart.com/lotDetail/24238087,24238087,$0,1986,YAMAHA,FZ600,04/06/2017 02:00 PM CDT,.6L  4,CA,CERT OF TITLE OR SALVAGE ACQ,ACTUAL,4,JYA2AY00XGA001306,MC,187168.0,MECHANICAL,$0,$0,0,CA - HAYWARD,On Approval,$0
https://www.copart.com/lotDetail/24401997,24401997,$0,1986,OTHR,MARINE LOT,04/07/2017 09:00 AM CDT,,CO,BILL OF SALE-PARTS ONLY,EXEMPT,,SERT3848D686,A130,0.0,UNDERCARRIAGE,$0,$0,0,MA - NORTH BOSTON,On Approval,$0
https://www.copart.com/lotDetail/25406137,25406137,"$2,800",1986,TOYOTA,XTRACAB SR,04/04/2017 01:00 PM CDT,2.4L  4,CO,CERTIFICATE OF TITLE,EXEMPT,4,JT4RN67S1G5043567,FC010,225266.0,MECHANICAL,$325,$0,0,CO - DENVER,Minimum Bid,$0
https://www.copart.com/lotDetail/22581127,22581127,"$17,906",1986,ROLLS-ROYCE,SILVER SPU,04/27/2017 12:00 PM CDT,6.8L  8,TX,SALVAGE VEHICLE TITLE,ACTUAL,8,SCAZN42A7GCX14150,F060,76702.0,REAR END,"$1,700",$0,0,TX - DALLAS SOUTH,On Approval,"$17,906"
https://www.copart.com/lotDetail/40721576,40721576,$0,1986,PONTIAC,6000 LE,04/05/2017 09:00 AM CDT,2.8L  6,NC,DEALER ONLY CLEAN TITLE,EXEMPT,6,1G2AG19X2GT313893,E060,138710.0,MINOR DENT/SCRATCHES,$0,$0,2562,NC - MEBANE,Minimum Bid,$0
https://www.copart.com/lotDetail/25832587,25832587,$975,1986,FORD,MUSTANG LX,05/05/2017 12:00 PM CDT,3.8L  6,TX,CERTIFICATE OF TITLE,EXEMPT,6,1FABP2735GF214754,G050,26262.0,NORMAL WEAR,$0,$0,0,TX - ABILENE,Minimum Bid,$0
https://www.copart.com/lotDetail/23349667,23349667,"$5,033",1986,BMW,528E,04/10/2017 12:00 PM CDT,2.7L  6,MO,SALVAGE CERTIFICATE OF TITLE,EXEMPT,6,WBADK7301G9650409,P030,35847.0,FRONT END,$0,$0,0,KS - WICHITA,Pure Sale,$0
https://www.copart.com/lotDetail/23397477,23397477,$0,1986,AMERICAN MOTORS,CHEROKEE C,04/04/2017 02:00 PM CDT,2.5L  4,CA,CERT OF TITLE OR SALVAGE ACQ,EXEMPT,4,1JCHL773XGT053931,LL010,265313.0,STRIPPED,$0,$0,2214,CA - SAN JOSE,On Approval,$0
https://www.copart.com/lotDetail/23419557,23419557,"$1,350",1986,VOLKSWAGEN,GTI,04/04/2017 09:00 AM CDT,1.8L  4,MD,CERT OF SALVAGE > 75% DAMAGE,ACTUAL,4,1VWDB0179GV077712,E120,120845.0,FRONT END,$0,$0,4093,DC - WASHINGTON DC,Pure Sale,"$10,465"
https://www.copart.com/lotDetail/23770647,23770647,"$3,052",1986,NISSAN,D21 LONG B,04/10/2017 02:00 PM CDT,3.0L  6,CA,SALVAGE CERTIFICATE,ACTUAL,6,JN6HD12H1GW003395,F090,310114.0,FRONT END,$0,$0,0,CA - SO SACRAMENTO,Pure Sale,$0
https://www.copart.com/lotDetail/24605997,24605997,$800,1986,OLDSMOBILE,CUTLASS SU,04/04/2017 02:00 PM CDT,3.8L  6,WA,VEHICLE CERT OF OWNERSHIP-TITL,EXEMPT,6,1G3GM69A0GR344158,SA009,88665.0,MECHANICAL,$0,$0,60,WA - GRAHAM,On Approval,$0
